iso_country_code,country,world_region,survey_source ,survey_year,subnational_region,mpi_country,mpi_region,hr_poor,deprivation_intensity,poverty_vulnerability,hr_severe_poverty,population_country_survey_year,population_country_2020,population _country_2021,Population 2021,population _region_2021,population_mpi_poor,n_indicators,missing_indicators
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Santiago de Cuba,0.003,0.005,1.18,40.68,4.36,0.19,"11,317","11,301","11,256",8.19,922,11,10,
CUB,Cuba,Latin America and the Caribbean,MICS,2019,Villa Clara,0.003,0.001,0.24,38.89,2.79,0,"11,317","11,301","11,256",8.2,923,2,10,
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Cibao Nordeste,0.009,0.006,1.63,39.24,5.35,0.19,"10,882","11,000","11,118",6.31,702,11,10,
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Cibao Noroeste,0.009,0.022,5.43,39.64,7.13,0.58,"10,882","11,000","11,118",4.27,475,26,10,
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Cibao Norte,0.009,0.005,1.41,36.79,3.98,0.11,"10,882","11,000","11,118",15.29,"1,700",24,10,
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Cibao Sur,0.009,0.007,1.88,37.56,5.26,0.31,"10,882","11,000","11,118",7.16,796,15,10,
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,El Valle,0.009,0.029,6.93,42.31,10.37,1.6,"10,882","11,000","11,118",3.25,362,25,10,
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Enriquillo,0.009,0.03,7.16,41.99,9.15,1.63,"10,882","11,000","11,118",3.73,415,30,10,
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Higuamo,0.009,0.009,2.5,35.55,6.94,0.02,"10,882","11,000","11,118",6.07,675,17,10,
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Ozama,0.009,0.004,1.14,38.12,2.27,0.04,"10,882","11,000","11,118",35.92,"3,993",45,10,
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Valdesia,0.009,0.01,2.64,37.82,6.76,0.27,"10,882","11,000","11,118",11.11,"1,235",33,10,
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,Yuma,0.009,0.013,3.42,37.48,7.27,0.13,"10,882","11,000","11,118",6.87,764,26,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Azuay,0.008,0.003,0.75,37.75,5.52,0,"17,016","17,589","17,798",4.93,878,7,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Bolívar,0.008,0.028,7.36,38.47,9.85,0.51,"17,016","17,589","17,798",1.22,216,16,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Cañar,0.008,0.006,1.57,36.52,7.4,0,"17,016","17,589","17,798",1.6,285,4,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Carchi,0.008,0.005,1.36,35.28,7.12,0.04,"17,016","17,589","17,798",1.08,192,3,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Chimborazo,0.008,0.018,5,36.73,8.78,0.05,"17,016","17,589","17,798",2.98,531,27,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Cotopaxi,0.008,0.011,2.93,38.33,7.87,0.18,"17,016","17,589","17,798",2.76,491,14,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,El Oro,0.008,0.002,0.55,37.1,4,0,"17,016","17,589","17,798",4.07,725,4,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Esmeraldas,0.008,0.011,3.08,37.01,8.35,0.08,"17,016","17,589","17,798",3.71,661,20,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Galápagos,0.008,0.001,0.31,36,7.19,0,"17,016","17,589","17,798",0.19,34,0,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Guayas,0.008,0.004,1,36.36,4.15,0,"17,016","17,589","17,798",25.54,"4,546",45,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Imbabura,0.008,0.008,2.12,35.88,7.51,0,"17,016","17,589","17,798",2.71,483,10,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Loja,0.008,0.011,2.88,39.34,7.75,0.35,"17,016","17,589","17,798",3,534,15,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Los Ríos,0.008,0.009,2.32,37.28,7.28,0.12,"17,016","17,589","17,798",5.43,966,22,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Manabí,0.008,0.014,3.54,39.83,10.72,0.49,"17,016","17,589","17,798",9,"1,603",57,10,
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,Morona Santiago,0.008,0.057,13.81,41.21,17.1,2.69,"17,016","17,589","17,798",1.1,196,27,10,
